,room_type,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,review_scores_rating,latitude,longitude,Zona,fl_intermodalidade,fl_lte_5_km_estacao,fl_lte_5_km_pontos_turisticos,entire_home_apt_private_room_roteiro_turistico,acomodacao_alta_experiencia
0,Entire home/apt,4,1,1,1,723.0,367,4.92,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
1,Private room,2,1,1,2,1146.0,32,5.0,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
2,Entire home/apt,6,4,3,3,6742.0,1,4.812309491059147,-22.9834608,-43.2249656,Zona Sul,0,1,1,1,1
3,Private room,1,1,1,1,61.0,5,5.0,-22.9215542,-43.1860269,Centro,1,1,1,1,1
4,Entire home/apt,6,2,2,6,1411.0,654,4.83,-22.9624658,-43.2024884,Zona Sul,1,1,1,1,1
5,Entire home/apt,6,2,2,5,703.0,60,4.8,-22.9834608,-43.2249656,Zona Sul,0,1,1,1,1
6,Private room,1,1,1,1,59.0,4,4.5,-22.9215542,-43.1860269,Centro,1,1,1,1,1
7,Entire home/apt,3,1,1,2,225.0,48,4.92,-22.9215542,-43.1860269,Centro,1,1,1,1,1
8,Entire home/apt,2,1,0,1,759.0,59,4.85,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
9,Entire home/apt,5,1,2,2,1471.0,327,4.7,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
10,Entire home/apt,3,1,1,2,850.0,304,4.74,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
11,Entire home/apt,2,2,1,1,324.0,498,4.91,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
12,Entire home/apt,13,7,6,7,3532.0,180,4.76,-22.9839557,-43.2022163,Zona Sul,1,1,1,1,1
13,Entire home/apt,3,1,1,1,580.0,177,4.84,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
14,Entire home/apt,14,7,6,10,6000.0,7,4.57,-22.9997404,-43.3659929,Zona Oeste,0,0,0,0,1
15,Entire home/apt,2,1,0,1,759.0,288,4.77,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
16,Entire home/apt,3,1,0,4,140.0,3,4.67,-22.9215542,-43.1860269,Centro,1,1,1,1,1
17,Entire home/apt,4,1,1,1,896.0,37,4.74,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
18,Entire home/apt,4,2,2,2,1372.0,41,5.0,-22.9624658,-43.2024884,Zona Sul,1,1,1,1,1
19,Entire home/apt,10,2,1,8,1200.0,10,3.8,-22.971974,-43.1842997,Zona Sul,1,1,1,1,0
20,Entire home/apt,4,1,1,2,5054.0,43,4.45,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
21,Entire home/apt,2,1,1,1,943.0,126,4.53,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
22,Entire home/apt,10,4,4,8,2697.0,37,4.95,-23.0077797,-43.2872344,Zona Oeste,0,1,0,0,1
23,Entire home/apt,6,2,4,4,1200.0,13,4.83,-22.9339841,-43.1745744,Zona Sul,1,1,1,1,1
24,Entire home/apt,6,2,3,4,1986.0,95,4.76,-22.9839557,-43.2022163,Zona Sul,1,1,1,1,1
25,Entire home/apt,5,2,1,5,1310.0,606,4.81,-22.9839557,-43.2022163,Zona Sul,1,1,1,1,1
26,Private room,2,2,1,1,223.0,94,4.92,-22.9215542,-43.1860269,Centro,1,1,1,1,1
27,Entire home/apt,12,4,4,8,4567.0,160,4.39,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
28,Private room,3,1,1,2,636.0,28,4.79,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
29,Private room,3,0,1,2,664.0,1,5.0,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
30,Private room,3,5,7,14,203.0,251,4.81,-22.9215542,-43.1860269,Centro,1,1,1,1,1
31,Entire home/apt,4,1,1,2,1258.0,122,4.68,-22.9834608,-43.2249656,Zona Sul,0,1,1,1,1
32,Private room,2,2,1,2,1011.0,1,4.812309491059147,-22.9531726,-43.3715825,Zona Oeste,0,0,0,0,1
33,Entire home/apt,4,1,1,3,671.0,174,4.71,-22.9839557,-43.2022163,Zona Sul,1,1,1,1,1
34,Entire home/apt,3,1,1,2,1635.0,88,4.69,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
35,Entire home/apt,3,1,1,3,1051.0,81,4.78,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
36,Entire home/apt,4,1,0,2,796.0,65,4.94,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
37,Entire home/apt,4,1,2,3,546.0,33,4.88,-22.954074,-43.1679727,Zona Sul,1,1,1,1,1
38,Entire home/apt,4,1,1,2,985.0,8,4.5,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
39,Entire home/apt,2,1,0,1,522.0,1,5.0,-22.9215542,-43.1860269,Centro,1,1,1,1,1
40,Entire home/apt,3,1,0,2,281.0,1,4.812309491059147,-22.9215542,-43.1860269,Centro,1,1,1,1,1
41,Private room,2,2,1,1,330.0,2,5.0,-22.9636362,-43.2233457,Zona Sul,1,1,1,1,1
42,Private room,2,1,1,2,274.0,12,5.0,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
43,Entire home/apt,4,1,1,1,1001.0,65,4.82,-22.9997404,-43.3659929,Zona Oeste,0,0,0,0,1
44,Private room,2,2,1,2,247.0,63,4.83,-23.0185151,-43.4634021,Zona Oeste,0,0,0,0,1
45,Entire home/apt,6,2,4,5,1143.0,1,4.812309491059147,-22.9870911,-43.3049379,Zona Oeste,0,1,0,0,1
46,Entire home/apt,3,1,0,4,301.0,69,4.6,-22.9215542,-43.1860269,Centro,1,1,1,1,1
47,Private room,3,1,1,2,369.0,144,4.98,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
48,Entire home/apt,5,2,2,3,614.0,15,4.92,-22.9343173,-43.1878165,Zona Sul,1,1,1,1,1
49,Private room,2,2,1,1,70.0,182,4.73,-22.9515096,-43.1862969,Zona Sul,1,1,1,1,1
50,Entire home/apt,3,1,1,1,674.0,29,4.76,-22.9343173,-43.1878165,Zona Sul,1,1,1,1,1
51,Entire home/apt,8,2,3,6,3029.0,53,4.92,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
52,Private room,1,1,1,1,459.0,39,4.82,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
53,Entire home/apt,4,1,2,2,650.0,9,4.78,-22.9997404,-43.3659929,Zona Oeste,0,0,0,0,1
54,Private room,1,1,1,1,59.0,2,5.0,-22.9215542,-43.1860269,Centro,1,1,1,1,1
55,Entire home/apt,4,1,1,2,303.0,196,4.67,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
56,Entire home/apt,8,3,4,7,6141.0,237,4.92,-22.9839557,-43.2022163,Zona Sul,1,1,1,1,1
57,Entire home/apt,12,4,6,8,4093.0,18,4.44,-22.9870911,-43.3049379,Zona Oeste,0,1,0,0,1
58,Entire home/apt,2,1,1,1,878.0,96,4.98,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
59,Private room,2,1,1,1,150.0,10,5.0,-22.9814243,-43.2383245,Zona Sul,0,0,1,1,1
60,Private room,2,1,1,1,193.0,5,4.8,-22.8992621,-43.3527794,Zona Oeste,0,0,0,0,1
61,Entire home/apt,4,1,1,4,833.0,166,4.54,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
62,Entire home/apt,2,1,0,1,809.0,30,4.89,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
63,Entire home/apt,4,1,1,2,193.0,195,4.28,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
64,Entire home/apt,4,2,1,2,965.0,189,4.75,-22.9839557,-43.2022163,Zona Sul,1,1,1,1,1
65,Entire home/apt,1,1,0,2,180.0,1,5.0,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
66,Entire home/apt,5,2,2,3,4164.0,39,4.95,-22.9834608,-43.2249656,Zona Sul,0,1,1,1,1
67,Entire home/apt,4,1,2,3,380.0,60,4.85,-22.9834608,-43.2249656,Zona Sul,0,1,1,1,1
68,Entire home/apt,4,2,2,2,3371.0,1,4.812309491059147,-22.9624658,-43.2024884,Zona Sul,1,1,1,1,1
69,Entire home/apt,3,2,2,2,1580.0,94,4.91,-22.9515096,-43.1862969,Zona Sul,1,1,1,1,1
70,Private room,2,2,1,2,694.0,100,4.95,-22.9546413,-43.2004797,Zona Sul,1,1,1,1,1
71,Entire home/apt,4,1,1,2,1500.0,1,4.812309491059147,-22.9531726,-43.3715825,Zona Oeste,0,0,0,0,1
72,Entire home/apt,4,2,2,3,665.0,11,5.0,-22.9997404,-43.3659929,Zona Oeste,0,0,0,0,1
73,Entire home/apt,2,1,1,2,964.0,64,4.58,-22.9839557,-43.2022163,Zona Sul,1,1,1,1,1
74,Entire home/apt,4,1,0,2,870.0,118,4.57,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
75,Private room,2,1,1,1,555.0,17,4.76,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
76,Entire home/apt,4,1,0,3,550.0,10,4.9,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
77,Entire home/apt,5,1,1,2,921.0,86,4.64,-22.9839557,-43.2022163,Zona Sul,1,1,1,1,1
78,Entire home/apt,3,1,1,2,796.0,106,4.66,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
79,Entire home/apt,4,1,0,4,827.0,134,4.65,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
80,Entire home/apt,2,1,1,3,597.0,7,4.43,-22.9952094,-43.2408556,Zona Sul,0,0,1,1,1
81,Entire home/apt,2,1,1,1,689.0,124,4.24,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
82,Private room,2,1,1,1,202.0,117,4.97,-22.9515096,-43.1862969,Zona Sul,1,1,1,1,1
83,Private room,2,2,1,1,500.0,26,4.92,-22.9215542,-43.1860269,Centro,1,1,1,1,1
84,Private room,1,1,1,1,467.0,21,4.76,-22.9839557,-43.2022163,Zona Sul,1,1,1,1,1
85,Entire home/apt,6,2,2,4,1243.0,136,4.92,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
86,Entire home/apt,6,3,2,5,1250.0,1,5.0,-22.9215542,-43.1860269,Centro,1,1,1,1,1
87,Entire home/apt,5,2,2,2,3705.0,232,4.95,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
88,Entire home/apt,8,2,3,3,6324.0,180,4.86,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
